"","site_name","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled","Latitude_manual","Longitude_manual","lew_salinity_quantile_10","lew_salinity_quantile_90","lew_temp_quantile_10","lew_temp_quantile_90","lew_Dermo_Prevalence","lew_Pea_crab","lew_MSX_Prevalence","lew_salinity_quantile_10_scaled","lew_salinity_quantile_90_scaled","lew_temp_quantile_10_scaled","lew_temp_quantile_90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","lew_MSX_Prevalence_scaled","Latitude_manual","Longitude_manual","yrk_salinity_quantile_10","yrk_salinity_quantile_90","yrk_temp_quantile_10","yrk_temp_quantile_90","yrk_Dermo_Prevalence","yrk_Pea_crab","yrk_MSX_Prevalence","yrk_salinity_quantile_10_scaled","yrk_salinity_quantile_90_scaled","yrk_temp_quantile_10_scaled","yrk_temp_quantile_90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled","yrk_MSX_Prevalence_scaled"
"12","W1_TX",28.096,-97.174,5.9,36.7,13.8,30.5,0.2667,0,0.0588,-0.780847586972432,1.42751919126963,1.10635286999442,0.819688979522872,-0.494122753857779,-0.348518023882863,-0.368242678236114,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"25","W6_ME",44.02452236,-69.53203214,30.5,32.06,8.38,19.14,0,0,0.1429,1.78068125909154,0.813229867336379,-0.420686008933221,-2.70872818155228,-1.39093237735834,-0.348518023882863,0.189344177478781,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"3","W4_VA",37.14888,-76.63554,12.2,19.1,6.1,28.1,0.0769,0,0.0556,-0.124846297126781,-0.902543761580632,-1.06305660744891,0.0742487342253047,-1.13234722532537,-0.348518023882863,-0.389458824945837,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"41","W3_FL",30.44003,-81.43638,27.85066428,35.97585067,14.559,29.279,0.7895,0,0.0556,1.50481337820993,1.33164910455575,1.32019466134241,0.440446254727734,1.26385276607507,-0.348518023882863,-0.389458824945837,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"51","W2_LA",29.239925,-90.911362,3,18,13.2,30.7,0.1111,0,0.0556,-1.08281643467916,-1.04817269613377,0.93730797564819,0.881808999964336,-1.0173457662938,-0.348518023882863,-0.389458824945837,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"61","W5_NH",43.053746,-70.911544,5.9,28.6,7.2,24.2,0.625,0,0.3889,-0.780847586972432,0.355160673196498,-0.753140967814148,-1.13709166438324,0.710702473364756,-0.348518023882863,1.8203354557887,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"26","S1_LOLA",37.9803,-76.4619,8.30654905077971,16.4543831521622,5.0345031055959,27.7325858920329,0.3516666666,0,0,-0.530260399450477,-1.25279681865923,-1.36325129068355,-0.0398701252616879,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"34","S2_DEBY",37.247284,-76.499369,15.75,22.34,6.51,27.441,0.6529333333,0.487704918032787,0.139810426540284,0.2448052233418,-0.47360035435138,-0.947542596312317,-0.13043673312932,0.804631540180986,3.71820615331891,0.168860163793846,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,0,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,37.247284,-76.499369,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.265625,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
