"","site_name","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_Crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_Crab_scaled","Latitude_manual","Longitude_manual","lew_salinity_quantile_10","lew_salinity_quantile_90","lew_temp_quantile_10","lew_temp_quantile_90","lew_Dermo_Prevalence","lew_Pea_Crab","lew_salinity_quantile_10_scaled","lew_salinity_quantile_90_scaled","lew_temp_quantile_10_scaled","lew_temp_quantile_90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_Crab_scaled","Latitude_manual","Longitude_manual","yrk_salinity_quantile_10","yrk_salinity_quantile_90","yrk_temp_quantile_10","yrk_temp_quantile_90","yrk_Dermo_Prevalence","yrk_Pea_Crab","yrk_salinity_quantile_10_scaled","yrk_salinity_quantile_90_scaled","yrk_temp_quantile_10_scaled","yrk_temp_quantile_90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_Crab_scaled"
"12","W1_TX",28.096,-97.174,5.9,36.7,13.8,30.5,0.666666667,0,-0.785855222419109,1.4267364267937,1.10862753157333,0.814742839445189,-0.191197956912178,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"25","W6_ME",44.02452236,-69.53203214,30.5,32.06,8.38,19.14,0.125,0,1.78013896016471,0.813175158549885,-0.428485707110715,-2.71288229471316,-2.11517187906924,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"3","W3_FL",30.44003,-81.43638,27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.50379017783823,1.33097996530389,1.3238801050348,0.435585243599472,0.805841158658409,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"41","W2_LA",29.239925,-90.911362,3,18,13.2,30.7,0.388888889,0,-1.08835047158549,-1.04602127065444,0.938467394449631,0.876848915750794,-1.17785125050821,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"51","W5_NH",43.053746,-70.911544,5.9,28.6,7.2,24.2,0.9375,0,-0.785855222419109,0.355648868006005,-0.763133976787315,-1.14159856418136,0.770789002390379,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"61","W4_VA",37.063817,-76.562783,12.2,19.1,6.1,28.1,1,0.722222222,-0.128710370781789,-0.900564935510429,-1.07509422818076,0.0694699237779332,0.992785993271888,4.03693244420539,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"26","S1_LOLA",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"34","S2_DEBY",37.9803,-76.4619,15.75,22.34,6.51,27.441,0.6529333333,0.487704918032787,0.241585537680511,-0.472129911995351,-0.958818134479564,-0.135169597649035,-0.239978097010924,2.60445957802442,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
